+----------------------+------+--------+---------+-------------+
|      series id       | year | period |  value  |  footnotes  |
+----------------------+------+--------+---------+-------------+
| SMU36000000000000001 | 2025 |  M06   | 10063.0 | Preliminary |
| SMU36000000000000001 | 2025 |  M05   |  9994.4 |             |
| SMU36000000000000001 | 2025 |  M04   |  9933.9 |             |
| SMU36000000000000001 | 2025 |  M03   |  9882.6 |             |
| SMU36000000000000001 | 2025 |  M02   |  9840.1 |             |
| SMU36000000000000001 | 2025 |  M01   |  9785.2 |             |
| SMU36000000000000001 | 2024 |  M12   | 10016.3 |             |
| SMU36000000000000001 | 2024 |  M11   |  9980.3 |             |
| SMU36000000000000001 | 2024 |  M10   |  9951.3 |             |
| SMU36000000000000001 | 2024 |  M09   |  9872.7 |             |
| SMU36000000000000001 | 2024 |  M08   |  9870.3 |             |
| SMU36000000000000001 | 2024 |  M07   |  9905.2 |             |
| SMU36000000000000001 | 2024 |  M06   |  9945.9 |             |
| SMU36000000000000001 | 2024 |  M05   |  9888.6 |             |
| SMU36000000000000001 | 2024 |  M04   |  9836.8 |             |
| SMU36000000000000001 | 2024 |  M03   |  9776.6 |             |
| SMU36000000000000001 | 2024 |  M02   |  9711.2 |             |
| SMU36000000000000001 | 2024 |  M01   |  9613.3 |             |
| SMU36000000000000001 | 2023 |  M12   |  9863.2 |             |
| SMU36000000000000001 | 2023 |  M11   |  9847.1 |             |
| SMU36000000000000001 | 2023 |  M10   |  9811.5 |             |
| SMU36000000000000001 | 2023 |  M09   |  9729.4 |             |
| SMU36000000000000001 | 2023 |  M08   |  9724.3 |             |
| SMU36000000000000001 | 2023 |  M07   |  9758.4 |             |
| SMU36000000000000001 | 2023 |  M06   |  9814.2 |             |
| SMU36000000000000001 | 2023 |  M05   |  9726.8 |             |
| SMU36000000000000001 | 2023 |  M04   |  9636.3 |             |
| SMU36000000000000001 | 2023 |  M03   |  9600.8 |             |
| SMU36000000000000001 | 2023 |  M02   |  9555.8 |             |
| SMU36000000000000001 | 2023 |  M01   |  9470.5 |             |
+----------------------+------+--------+---------+-------------+
